repo,lists
gobyexample-cn/gobyexample,Go / 后端;软技能 / 职业
Infrasys-AI/AISystem,LLM 基础
Developer-Y/cs-video-courses,LLM 基础;分布式 / 系统设计;算法
xiaolincoder/CS-Base,Go / 后端;分布式 / 系统设计;面试 / 八股;C / C++;云原生 / DevOps
ashishps1/awesome-system-design-resources,Go / 后端;分布式 / 系统设计;面试 / 八股;工具 / 效率
yourselfhosted/slash,工具 / 效率
NginxProxyManager/nginx-proxy-manager,云原生 / DevOps
kuchin/awesome-cto,面试 / 八股;工具 / 效率;软技能 / 职业
tw93/Pake,Rust;云原生 / DevOps
dromara/carbon,Go / 后端
OpenGithubs/weekly,UNCATEGORIZED
practical-tutorials/project-based-learning,Go / 后端;C / C++;软技能 / 职业
lobehub/lobehub,AI / Agent;LLM 基础
lobehub/sd-webui-lobe-theme,AI / Agent;工具 / 效率
mao888/golang-guide,Go / 后端;面试 / 八股;软技能 / 职业
chinesehuazhou/python-weekly,Rust;软技能 / 职业
scottbez1/smartknob,C / C++
JuanCrg90/Clean-Code-Notes,软技能 / 职业
Kanaries/pygwalker,UNCATEGORIZED
AUTOMATIC1111/stable-diffusion-webui,AI / Agent;LLM 基础
jincheng9/go-tutorial,Go / 后端;分布式 / 系统设计;软技能 / 职业
ntegrals/openbrowser,AI / Agent;工具 / 效率
openmlsys/openmlsys,LLM 基础
hua1995116/awesome-ai-painting,AI / Agent;工具 / 效率;软技能 / 职业
dttung2905/kafka-in-production,分布式 / 系统设计;软技能 / 职业
zhiyiYo/PyQt-Fluent-Widgets,C / C++
linux-rdma/rdma-core,C / C++;云原生 / DevOps
SYaoJun/cpp_Interview,面试 / 八股;C / C++;云原生 / DevOps
rfyiamcool/notes,Go / 后端;分布式 / 系统设计;云原生 / DevOps
skywind3000/kcp,C / C++
kyrolabs/awesome-langchain,AI / Agent;LLM 基础;工具 / 效率
johnlui/PPHC,Rust
reuixiy/hugo-theme-meme,UNCATEGORIZED
HengMrZ/chat_azure,Go / 后端
collabnix/dockerlabs,分布式 / 系统设计;云原生 / DevOps
liou666/polyglot,UNCATEGORIZED
fyne-io/fyne,Go / 后端;工具 / 效率
DevToys-app/DevToysMac,UNCATEGORIZED
OI-wiki/OI-wiki,算法;软技能 / 职业
tidwall/gjson,Go / 后端
imroc/req,Go / 后端
reeceyng/v2ray-agent,AI / Agent
PlexPt/awesome-chatgpt-prompts-zh,LLM 基础;工具 / 效率
kissgyorgy/redbean-docker,云原生 / DevOps
xugaoyi/vuepress-theme-vdoing,工具 / 效率
